"","CultureID_short","Sample_type","molFractionC_pertotalC","total_mmol","Identification","Emperical.Formula","Contains_N","Contains_S"
"221","StaB1","SW_Station B1",0.07994,3.53316924234,"Aspartic acid †","C4H7NO4","yes","no"
"222","StaB2","SW_Station B2",0.0695666666666667,3.01257189273333,"Aspartic acid †","C4H7NO4","yes","no"
"223","StaB3","SW_Station B3",0.0539465,2.55934740726667,"Aspartic acid †","C4H7NO4","yes","no"
"224","StaB4","SW_Station B4",0.0764666666666667,3.64243740004,"Aspartic acid †","C4H7NO4","yes","no"
"225","StaB5","SW_Station B5",0.0921606333333333,3.12584895483333,"Aspartic acid †","C4H7NO4","yes","no"
"226","20ppt3C","Exp_Melted",0.00460666666666667,2.48661013953333,"b-Alanine †","C3H7NO2","yes","no"
"227","35ppt0C","Exp_Ambient",0.0237333333333333,4.03353305183333,"b-Alanine †","C3H7NO2","yes","no"
"228","50ppt-3C","Exp_Frozen",0.0249666666666667,3.98563384757333,"b-Alanine †","C3H7NO2","yes","no"
"229","Hero1","Melted_hero",0.00508666666666667,1.34416321036667,"b-Alanine †","C3H7NO2","yes","no"
"230","StaB1","SW_Station B1",0.08272,3.53316924234,"b-Alanine †","C3H7NO2","yes","no"
"231","StaB2","SW_Station B2",0.0477333333333333,3.01257189273333,"b-Alanine †","C3H7NO2","yes","no"
"232","StaB3","SW_Station B3",0.0339333333333333,2.55934740726667,"b-Alanine †","C3H7NO2","yes","no"
"233","StaB4","SW_Station B4",0.0495666666666667,3.64243740004,"b-Alanine †","C3H7NO2","yes","no"
"234","StaB5","SW_Station B5",0.0386333333333333,3.12584895483333,"b-Alanine †","C3H7NO2","yes","no"
"235","20ppt3C","Exp_Melted",0.00402333333333333,2.48661013953333,"b-Glutamic acid †","C5H9NO4","yes","no"
"236","35ppt0C","Exp_Ambient",0.00345,4.03353305183333,"b-Glutamic acid †","C5H9NO4","yes","no"
"237","50ppt-3C","Exp_Frozen",0.00482666666666667,3.98563384757333,"b-Glutamic acid †","C5H9NO4","yes","no"
"238","Hero1","Melted_hero",0.0116766666666667,1.34416321036667,"b-Glutamic acid †","C5H9NO4","yes","no"
"239","StaB1","SW_Station B1",0.006002,3.53316924234,"b-Glutamic acid †","C5H9NO4","yes","no"
"240","StaB2","SW_Station B2",0.00838333333333333,3.01257189273333,"b-Glutamic acid †","C5H9NO4","yes","no"
